"PEAKID,C,4","YEAR,C,4","SEASON,N,1,0","HOST,N,1,0","NATION,C,20","BCDATE,D","SKI,L","PARAPENTE,L","CAMPS,N,2,0","TOTMEMBERS,N,2,0","SMTMEMBERS,N,2,0","TOTHIRED,N,2,0","O2CLIMB,L","O2SLEEP,L","O2UNKWN,L","AGENCY,C,60","COMRTE,L","STDRTE,L"
BARU,2018,3,1,UK,08/23/18,FALSE,FALSE,0,1,0,2,FALSE,FALSE,FALSE,Tramping Himalaya,FALSE,FALSE
BARU,2018,3,1,France,10/17/18,FALSE,FALSE,1,2,0,0,FALSE,FALSE,FALSE,Thamserku Trekking,FALSE,FALSE
CBAM,2018,4,1,USA,02/15/19,FALSE,FALSE,3,2,2,0,FALSE,FALSE,FALSE,Magical Nepal,FALSE,FALSE
CHAM,2018,3,1,Ecuador,10/12/18,FALSE,FALSE,2,4,0,0,FALSE,FALSE,FALSE,Xtreme Climbers,FALSE,FALSE
CHAM,2018,3,1,Japan,10/01/18,FALSE,FALSE,0,1,0,1,FALSE,FALSE,FALSE,Cosmo Treks,FALSE,FALSE
CHAM,2018,3,1,Japan,09/29/18,FALSE,FALSE,2,2,0,1,FALSE,FALSE,FALSE,Cosmo Treks,FALSE,FALSE
CHOY,2018,3,2,USA,09/07/18,FALSE,FALSE,3,11,4,9,TRUE,FALSE,FALSE,Beyul Adventure,TRUE,TRUE
CHOY,2018,3,2,Switzerland,09/02/18,FALSE,FALSE,3,10,7,3,TRUE,FALSE,FALSE,Himalaya Vision,TRUE,TRUE
CHOY,2018,3,2,Switzerland,09/07/18,FALSE,FALSE,2,4,4,4,TRUE,FALSE,FALSE,Himalaya Vision,TRUE,TRUE
CHOY,2018,3,2,New Zealand,09/05/18,FALSE,FALSE,3,11,6,10,TRUE,FALSE,FALSE,Himalayan Guides,TRUE,TRUE
CHOY,2018,3,2,UK,09/06/18,FALSE,FALSE,4,5,2,2,TRUE,FALSE,FALSE,Makalu Adventure,TRUE,TRUE
CHOY,2018,3,2,UK,09/06/18,FALSE,FALSE,3,10,4,5,TRUE,FALSE,FALSE,Everest Parivar,TRUE,TRUE
CHOY,2018,3,2,Nepal,09/03/18,FALSE,FALSE,3,9,8,5,TRUE,FALSE,FALSE,TAGnepal Trekking,TRUE,TRUE
CHOY,2018,3,2,Japan,09/11/18,FALSE,FALSE,2,5,5,3,TRUE,FALSE,FALSE,Mountain Experience,TRUE,TRUE
CHOY,2018,3,2,Australia,09/10/18,FALSE,FALSE,3,1,1,1,TRUE,FALSE,FALSE,Dream Himalaya Adventures,TRUE,TRUE
CHOY,2018,3,2,France,09/12/18,FALSE,FALSE,2,3,1,2,TRUE,FALSE,FALSE,Cho Oyu Trekking,TRUE,TRUE
CHOY,2018,3,2,Spain,09/10/18,FALSE,FALSE,2,5,5,3,TRUE,FALSE,FALSE,Snowy Horizon Treks,TRUE,TRUE
CHOY,2018,3,2,Chile,09/10/18,FALSE,FALSE,3,1,1,2,TRUE,FALSE,FALSE,Shangri-La Nepal Treks,TRUE,TRUE
CHOY,2018,3,2,India,09/03/18,FALSE,FALSE,2,1,1,1,TRUE,FALSE,FALSE,Satori Adventures,TRUE,TRUE
CHOY,2018,3,2,France,,FALSE,FALSE,3,1,0,1,TRUE,FALSE,FALSE,Wild Yak Expeditions,TRUE,TRUE
CHOY,2018,3,2,China,,FALSE,FALSE,0,10,9,12,TRUE,FALSE,FALSE,Holy Mountain Adventure,TRUE,TRUE
CHWT,2018,3,1,Japan,09/08/18,FALSE,FALSE,1,2,2,2,FALSE,FALSE,FALSE,Cosmo Treks,FALSE,FALSE
DANS,2018,3,1,France,10/27/18,FALSE,FALSE,0,13,0,0,FALSE,FALSE,FALSE,Glacier Safarai Treks,FALSE,FALSE
DHA1,2018,3,1,Austria,09/03/18,FALSE,FALSE,2,6,0,3,FALSE,FALSE,FALSE,Himalaya Vision,FALSE,TRUE
DHA1,2018,3,1,Switzerland,09/13/18,FALSE,FALSE,2,8,0,8,TRUE,FALSE,FALSE,Seven Summit Treks,FALSE,TRUE
DHA1,2018,3,1,Spain,09/17/18,FALSE,FALSE,1,2,0,3,FALSE,FALSE,FALSE,Seven Summit Treks,FALSE,TRUE
DRAN,2018,3,1,Spain,10/02/18,FALSE,FALSE,3,4,4,0,FALSE,FALSE,FALSE,Annapurna Treks,FALSE,FALSE
EVER,2018,1,2,Nepal,,FALSE,FALSE,3,0,0,5,TRUE,TRUE,FALSE,,TRUE,TRUE
GANG,2018,3,1,Australia,10/19/18,FALSE,FALSE,1,2,0,0,FALSE,FALSE,FALSE,Su-Swagatam Treks,FALSE,FALSE
GHUS,2018,3,1,Switzerland,10/15/18,FALSE,FALSE,3,9,7,4,FALSE,FALSE,FALSE,Himalayan Travellers Nepal,FALSE,FALSE
GHYN,2018,3,1,Switzerland,11/12/18,FALSE,FALSE,1,13,0,7,FALSE,FALSE,FALSE,Himalayan Travellers Nepal,FALSE,FALSE
GURJ,2018,3,1,S Korea,,FALSE,FALSE,0,5,0,4,FALSE,FALSE,FALSE,Trekking Camp Nepal,FALSE,FALSE
HIMJ,2018,3,1,Germany,10/21/18,FALSE,FALSE,1,3,3,0,FALSE,FALSE,FALSE,Amis Himalaya Adventure,FALSE,FALSE
HIML,2018,3,1,Switzerland,09/14/18,FALSE,FALSE,2,5,1,3,FALSE,FALSE,FALSE,Himalaya Vision,FALSE,FALSE
HIML,2018,3,1,Germany,09/21/18,FALSE,FALSE,2,12,5,4,FALSE,FALSE,FALSE,Thamserku Trekking,FALSE,FALSE
HIML,2018,3,1,Spain,09/30/18,FALSE,FALSE,2,6,0,1,FALSE,FALSE,FALSE,Thamserku Trekking,FALSE,FALSE
HIML,2018,3,1,France,10/03/18,FALSE,FALSE,2,6,2,2,TRUE,FALSE,FALSE,Climbalaya (Alternative Nepal Trek pmt),FALSE,FALSE
HIML,2018,3,1,Nepal,,FALSE,FALSE,0,6,0,4,FALSE,FALSE,FALSE,Seven Summit Treks,FALSE,FALSE
HIML,2018,3,1,Belgium,10/19/18,FALSE,FALSE,2,2,1,2,FALSE,FALSE,FALSE,Seven Summit Treks,FALSE,FALSE
HIML,2018,3,1,Germany,10/18/18,FALSE,FALSE,2,7,4,5,FALSE,FALSE,FALSE,Seven Summit Treks,FALSE,FALSE
HIML,2018,3,1,China,10/17/18,FALSE,FALSE,3,1,1,1,TRUE,FALSE,FALSE,Seven Summit Treks,FALSE,FALSE
HIML,2018,3,1,Germany,10/13/18,FALSE,FALSE,2,4,2,3,FALSE,FALSE,FALSE,Annapurna Foothills (Wild Yak pmt),FALSE,FALSE
HIML,2018,3,1,Belgium,09/08/18,FALSE,FALSE,3,2,2,4,FALSE,FALSE,FALSE,High Himalayan Climbing,FALSE,FALSE
HIML,2018,3,1,Italy,10/06/18,FALSE,FALSE,2,1,0,1,FALSE,FALSE,FALSE,Snowy Horizon Treks (Alternative Nepal pmt),FALSE,FALSE
HIML,2018,3,1,Switzerland,,FALSE,FALSE,0,3,1,2,FALSE,FALSE,FALSE,Wild Yak Expeditions,FALSE,FALSE
HIML,2018,3,1,China,10/11/18,FALSE,FALSE,3,7,6,6,FALSE,FALSE,FALSE,Imagine Nepal,FALSE,FALSE
HIML,2018,3,1,Italy,10/03/18,FALSE,FALSE,2,6,3,5,FALSE,FALSE,FALSE,Satori Adventures,FALSE,FALSE
HIML,2018,3,1,Poland,10/10/18,FALSE,FALSE,2,4,1,2,FALSE,FALSE,FALSE,Himalayan Ecstasy Treks (Alternative Nepal pmt),FALSE,FALSE
HIML,2018,3,1,France,10/21/18,FALSE,FALSE,2,1,1,1,FALSE,FALSE,FALSE,Himalayan Ecstasy Treks (Wild Yak pmt),FALSE,FALSE
HIML,2018,3,1,France,,FALSE,FALSE,0,1,1,1,FALSE,FALSE,FALSE,Wild Yak Expeditions permit,FALSE,FALSE
HIML,2018,3,1,Germany,,FALSE,FALSE,0,2,2,3,FALSE,FALSE,FALSE,Alternative Nepal permit,FALSE,FALSE
JANE,2018,3,1,Italy,09/19/18,FALSE,FALSE,0,2,0,0,FALSE,FALSE,FALSE,Expedition Himalaya,FALSE,FALSE
KGRI,2018,3,1,Ireland,10/29/18,FALSE,FALSE,1,3,0,3,FALSE,FALSE,FALSE,Seven Summit Treks,FALSE,FALSE
KGRI,2018,3,1,USA,10/30/18,FALSE,FALSE,0,2,0,0,FALSE,FALSE,FALSE,Happy Feet Mountaineers,FALSE,FALSE
KORL,2018,3,1,UK,11/20/18,FALSE,FALSE,0,4,0,2,FALSE,FALSE,FALSE,Himalaya Expeditions,FALSE,FALSE
LANY,2018,3,1,Denmark,10/15/18,FALSE,FALSE,1,11,5,5,FALSE,FALSE,FALSE,Highland Excursions,FALSE,FALSE
LCHN,2018,3,1,Poland,11/02/18,FALSE,FALSE,3,2,0,0,FALSE,FALSE,FALSE,Climb High Himalaya,FALSE,FALSE
LDNG,2018,3,1,Spain,10/25/18,FALSE,FALSE,0,3,3,0,FALSE,FALSE,FALSE,Annapurna Treks,FALSE,FALSE
LDNG,2018,3,1,UK,09/12/18,FALSE,FALSE,0,15,2,3,FALSE,FALSE,FALSE,Himalaya Expeditions,FALSE,FALSE
LSIS,2018,3,1,Denmark,10/25/18,FALSE,FALSE,1,11,0,5,FALSE,FALSE,FALSE,Highland Excursions,FALSE,FALSE
LUNR,2018,3,1,Austria,10/10/18,FALSE,FALSE,2,3,1,0,FALSE,FALSE,FALSE,Shangri-La Nepal Treks,FALSE,FALSE
MANA,2018,3,1,Netherlands,09/05/18,FALSE,FALSE,4,10,8,6,TRUE,FALSE,FALSE,Seven Summit Treks,TRUE,TRUE
MANA,2018,3,1,Spain,09/14/18,FALSE,FALSE,4,16,9,8,TRUE,FALSE,FALSE,Seven Summit Treks,TRUE,TRUE
MANA,2018,3,1,China,09/15/18,FALSE,FALSE,4,15,12,11,TRUE,FALSE,FALSE,Seven Summit Treks,TRUE,TRUE
MANA,2018,3,1,China,09/14/18,FALSE,FALSE,4,12,11,10,TRUE,FALSE,FALSE,Seven Summit Treks (Sherpa 14 Peak Exp),TRUE,TRUE
MANA,2018,3,1,Russia,09/09/18,FALSE,FALSE,4,11,9,8,TRUE,FALSE,FALSE,Makalu Extreme Treks,TRUE,TRUE
MANA,2018,3,1,Japan,09/08/18,FALSE,FALSE,4,5,5,5,TRUE,TRUE,FALSE,Mountain Experience,TRUE,TRUE
MANA,2018,3,1,Poland,09/14/18,FALSE,FALSE,3,8,0,0,FALSE,FALSE,FALSE,Prestige Adventure,TRUE,TRUE
MANA,2018,3,1,Chile,09/07/18,FALSE,FALSE,4,3,3,1,FALSE,FALSE,FALSE,Prestige Adventure,FALSE,FALSE
MANA,2018,3,1,Iran,09/14/18,FALSE,FALSE,4,1,1,1,TRUE,FALSE,FALSE,Prestige Adventure,TRUE,TRUE
MANA,2018,3,1,UK,09/10/18,FALSE,FALSE,3,5,5,4,TRUE,FALSE,FALSE,Himalayan Ski Trek,TRUE,TRUE
MANA,2018,3,1,Australia,09/03/18,FALSE,FALSE,4,10,8,7,TRUE,FALSE,FALSE,Grand Himalaya Treks,TRUE,TRUE
MANA,2018,3,1,China,09/12/18,FALSE,FALSE,4,10,9,10,TRUE,FALSE,FALSE,Kaitu Expedition,TRUE,TRUE
MANA,2018,3,1,Italy,09/19/18,FALSE,FALSE,3,2,0,0,FALSE,FALSE,FALSE,Kaitu Expedition,TRUE,TRUE
MANA,2018,3,1,Nepal,09/09/18,FALSE,FALSE,4,3,3,2,TRUE,FALSE,FALSE,Ever Quest Expeditions (Pioneer Adventure pmt),TRUE,TRUE
MANA,2018,3,1,Romania,09/10/18,FALSE,FALSE,4,3,3,3,TRUE,FALSE,FALSE,Satori Adventures,TRUE,TRUE
MANA,2018,3,1,Czech Republic,09/15/18,FALSE,FALSE,4,3,0,1,FALSE,FALSE,FALSE,Utmost Adventure (Satori Adventures pmt),TRUE,TRUE
MANA,2018,3,1,S Korea,09/11/18,FALSE,FALSE,4,2,2,2,TRUE,FALSE,FALSE,Trekking Camp Nepal,TRUE,TRUE
MANA,2018,3,1,Japan,09/07/18,FALSE,FALSE,4,3,3,3,TRUE,FALSE,FALSE,Numbur Himal Treks,TRUE,TRUE
MANA,2018,3,1,China,09/06/18,FALSE,FALSE,4,2,2,2,TRUE,FALSE,FALSE,Dolma Outdoor (Numbur Himal pmt),TRUE,TRUE
MANA,2018,3,1,Nepal,09/11/18,FALSE,FALSE,4,3,2,2,TRUE,FALSE,FALSE,Wild Yak Expeditions (Grand Himalaya pmt),TRUE,TRUE
MANA,2018,3,1,Spain,09/04/18,FALSE,FALSE,4,2,2,2,TRUE,FALSE,FALSE,Dream Himalaya Adventures (Grand Himalaya pmt),TRUE,TRUE
MANA,2018,3,1,China,09/14/18,FALSE,FALSE,4,11,10,8,TRUE,FALSE,FALSE,Pioneer Adventure,TRUE,TRUE
MANA,2018,3,1,Nepal,09/14/18,FALSE,FALSE,4,3,3,2,TRUE,FALSE,FALSE,Pioneer Adventure,TRUE,TRUE
MANA,2018,3,1,Hungary,09/09/18,FALSE,FALSE,4,5,4,4,TRUE,FALSE,FALSE,Snowy Horizon Treks,TRUE,TRUE
MANA,2018,3,1,Japan,,FALSE,FALSE,0,7,4,11,TRUE,FALSE,FALSE,Nirekha Adventures,TRUE,TRUE
MANA,2018,3,1,Czech Republic,09/20/18,FALSE,FALSE,4,12,3,1,TRUE,FALSE,FALSE,Mount Treks,TRUE,TRUE
MANA,2018,3,1,India,,FALSE,FALSE,4,2,2,0,TRUE,FALSE,FALSE,Mount Treks,TRUE,TRUE
MANA,2018,4,1,Italy,01/14/19,FALSE,FALSE,1,1,0,1,FALSE,FALSE,FALSE,Cho Oyu Trekking,TRUE,TRUE
NILN,2018,3,1,Japan,10/02/18,FALSE,FALSE,4,2,0,1,FALSE,FALSE,FALSE,Cosmo Treks,FALSE,FALSE
NORB,2018,3,1,Switzerland,09/20/18,FALSE,FALSE,0,8,0,5,FALSE,FALSE,FALSE,Himalayan Travellers Nepal,FALSE,FALSE
NUPL,2018,3,1,USA,10/28/18,FALSE,FALSE,0,7,6,5,TRUE,FALSE,FALSE,Himalayan Guides,FALSE,FALSE
PERI,2018,4,1,USA,01/20/19,FALSE,FALSE,0,1,0,0,FALSE,FALSE,FALSE,Magical Nepal,FALSE,FALSE
PUMO,2018,3,1,Spain,10/07/18,FALSE,FALSE,1,4,0,0,FALSE,FALSE,FALSE,Khumbi-ila Mt. & Trekking (Snowy Horizon pmt),FALSE,FALSE
PUMO,2018,3,1,Romania,10/08/18,FALSE,FALSE,5,3,3,0,FALSE,FALSE,FALSE,Snowy Horizon Treks,FALSE,FALSE
PUMO,2018,3,1,Slovenia,10/09/18,FALSE,FALSE,2,6,0,1,FALSE,FALSE,FALSE,Satori Adventures,FALSE,FALSE
PUMO,2018,3,1,Russia,11/11/18,FALSE,FALSE,2,5,1,0,FALSE,FALSE,FALSE,Shambhala Holidays,FALSE,FALSE
PURB,2018,3,1,Italy,10/19/18,FALSE,FALSE,0,3,0,2,FALSE,FALSE,FALSE,Snowy Horizon Treks,FALSE,FALSE
SAIP,2018,3,1,USA,10/05/18,FALSE,FALSE,1,6,0,0,FALSE,FALSE,FALSE,Shangri-La Nepal Treks,FALSE,FALSE
SAIP,2018,3,1,Spain,10/25/18,FALSE,FALSE,0,13,0,3,FALSE,FALSE,FALSE,Himalayan Wanderer,FALSE,FALSE
SPH2,2018,3,1,Lithuania,10/16/18,FALSE,FALSE,4,2,2,0,FALSE,FALSE,FALSE,Magical Nepal,FALSE,FALSE
TAKP,2018,3,1,UK,10/06/18,FALSE,FALSE,0,5,3,0,FALSE,FALSE,FALSE,Royal Mountain Travel,FALSE,FALSE
THAM,2018,3,1,Japan,09/30/18,FALSE,FALSE,1,2,0,1,FALSE,FALSE,FALSE,Cosmo Treks,FALSE,FALSE
TILI,2018,3,1,Switzerland,11/25/18,FALSE,FALSE,0,5,0,1,FALSE,FALSE,FALSE,Himalaya Vision,FALSE,FALSE
TILI,2018,3,1,France,10/11/18,FALSE,FALSE,1,2,0,1,FALSE,FALSE,FALSE,Ticino Treks,FALSE,FALSE
TILK,2018,3,1,UK,10/06/18,FALSE,FALSE,0,5,2,0,FALSE,FALSE,FALSE,Royal Mountain Travel,FALSE,FALSE
TSAR,2018,3,1,Japan,09/18/18,FALSE,FALSE,1,8,4,5,FALSE,FALSE,FALSE,Khangri Trek,FALSE,FALSE
YARA,2018,3,1,Japan,09/10/18,FALSE,FALSE,3,3,0,0,FALSE,FALSE,FALSE,Hoshi Treks,FALSE,FALSE
AMAD,2018,3,1,Switzerland,,FALSE,FALSE,2,2,0,0,FALSE,FALSE,FALSE,Khumbu Shangri-La Nepal permit,TRUE,FALSE
HIML,2018,3,1,France,10/20/18,FALSE,FALSE,2,4,0,1,FALSE,FALSE,FALSE,Base Camp Trekking,FALSE,FALSE
AMAD,2017,1,1,Bulgaria,04/23/17,FALSE,FALSE,2,1,0,1,FALSE,FALSE,FALSE,Snowy Horizon Treks,TRUE,FALSE
AMAD,2017,1,1,USA,04/24/17,FALSE,FALSE,1,2,0,1,FALSE,FALSE,FALSE,TAGnepal Trekking/Mountain Madness,TRUE,FALSE
ANN1,2017,1,1,Italy,04/01/17,FALSE,FALSE,4,2,2,0,FALSE,FALSE,FALSE,Cho Oyu Trekking,FALSE,TRUE
ANN1,2017,1,1,Russia,03/07/17,FALSE,FALSE,1,3,0,6,FALSE,FALSE,FALSE,Makalu Extreme Treks,FALSE,TRUE
ANN1,2017,1,1,Chile,04/14/17,FALSE,FALSE,4,2,2,0,FALSE,FALSE,FALSE,Top Himalaya Guides,FALSE,TRUE
ANN1,2017,1,1,Spain,04/14/17,FALSE,FALSE,4,2,2,0,FALSE,FALSE,FALSE,Prestige Adventure,FALSE,TRUE
ANN1,2017,1,1,Germany,05/11/17,FALSE,FALSE,3,4,0,0,FALSE,FALSE,FALSE,Seven Summit Treks,FALSE,FALSE
TILI,2017,1,1,Germany,04/19/17,FALSE,FALSE,1,4,3,0,FALSE,FALSE,FALSE,Seven Summit Treks,FALSE,FALSE
BURK,2017,1,1,USA,03/17/17,FALSE,FALSE,0,1,0,5,FALSE,FALSE,FALSE,Asian Trekking,FALSE,FALSE
CHOY,2017,1,2,Spain,04/28/17,FALSE,FALSE,1,2,0,0,FALSE,FALSE,FALSE,Makalu Adventure,TRUE,TRUE
CHOY,2017,1,2,Poland,04/18/17,FALSE,FALSE,1,3,0,3,FALSE,FALSE,FALSE,Seven Summit Treks,TRUE,TRUE
CHOY,2017,1,2,UK,04/24/17,FALSE,FALSE,2,4,0,3,FALSE,FALSE,FALSE,Makalu Adventure,TRUE,TRUE
DHA1,2017,1,1,New Zealand,04/25/17,FALSE,FALSE,3,14,10,11,TRUE,FALSE,FALSE,Himalayan Guides,FALSE,TRUE
DHA1,2017,1,1,Nepal,04/07/17,FALSE,FALSE,3,4,3,3,TRUE,FALSE,FALSE,Dreamers Destination Treks,FALSE,TRUE
DHA1,2017,1,1,India,04/04/17,FALSE,FALSE,3,25,6,10,TRUE,FALSE,FALSE,Himalaya Expeditions,FALSE,TRUE
DHA1,2017,1,1,India,04/26/17,FALSE,FALSE,3,12,3,12,TRUE,FALSE,FALSE,Himalaya Expeditions,FALSE,TRUE
DHA1,2017,1,1,Slovakia,04/13/17,FALSE,FALSE,3,4,2,0,FALSE,FALSE,FALSE,Cho Oyu Trekking,FALSE,TRUE
DHA1,2017,1,1,Iran,04/20/17,FALSE,FALSE,3,2,2,2,TRUE,FALSE,FALSE,Alpine Sherpa Guide Treks (Seven Summit Treks pmt),FALSE,TRUE
DHA1,2017,1,1,Spain,04/15/17,FALSE,FALSE,0,3,0,4,TRUE,FALSE,FALSE,Seven Summit Treks,FALSE,TRUE
DHA1,2017,1,1,Chile,04/22/17,FALSE,FALSE,4,2,2,0,FALSE,FALSE,FALSE,Adventure Geo Treks,FALSE,TRUE
DHA1,2017,1,1,India,04/14/17,FALSE,FALSE,3,1,1,1,TRUE,FALSE,FALSE,Trekking Camp Nepal (Seven Summit Treks pmt),FALSE,TRUE
CHOY,2017,1,2,Germany,,FALSE,FALSE,0,3,0,2,FALSE,FALSE,FALSE,Snowy Horizon Treks,TRUE,TRUE
CHOY,2017,1,2,Czech Republic,,FALSE,FALSE,0,1,0,0,FALSE,FALSE,FALSE,Snowy Horizon Treks,TRUE,TRUE
AMAD,2017,1,1,Austria,05/05/17,FALSE,FALSE,1,1,0,2,FALSE,FALSE,FALSE,Nima Dorje (Snowy Horizons pmt),TRUE,FALSE
AMAD,2017,1,1,Switzerland,04/11/17,FALSE,FALSE,2,1,0,1,FALSE,FALSE,FALSE,Snowy Horizon Treks,TRUE,FALSE
KANG,2017,1,1,Nepal,04/14/17,FALSE,FALSE,4,4,0,6,TRUE,FALSE,FALSE,Himalayan Ascent,FALSE,TRUE
KANG,2017,1,1,Italy,04/14/17,FALSE,FALSE,4,3,0,0,FALSE,FALSE,FALSE,Cho Oyu Trekking,FALSE,TRUE
KANG,2017,1,1,Nepal,04/17/17,FALSE,FALSE,4,3,0,3,TRUE,FALSE,FALSE,Seven Summit Treks,FALSE,TRUE
KANG,2017,1,1,India,01/14/17,FALSE,FALSE,4,11,0,8,TRUE,FALSE,FALSE,Seven Summit Treks,FALSE,TRUE
MAKA,2017,1,1,UK,04/17/17,FALSE,FALSE,3,7,0,6,TRUE,FALSE,FALSE,Expedition Himalaya,FALSE,TRUE
MAKA,2017,1,1,Nepal,05/08/17,FALSE,FALSE,3,2,2,1,TRUE,FALSE,FALSE,Dreamers Destination Treks,FALSE,TRUE
MAKA,2017,1,1,Russia,04/17/17,FALSE,FALSE,3,9,1,4,TRUE,TRUE,FALSE,Seven Summit Treks,FALSE,TRUE
MAKA,2017,1,1,Japan,04/21/17,FALSE,FALSE,3,4,0,2,TRUE,FALSE,FALSE,Himalayan Guides,FALSE,TRUE
MAKA,2017,1,1,Spain,04/28/17,FALSE,FALSE,3,6,0,0,FALSE,FALSE,FALSE,Bochi Bochi Treks,FALSE,TRUE
MAKA,2017,1,1,Italy,03/29/17,FALSE,FALSE,3,2,0,0,FALSE,FALSE,FALSE,Prestige Adventure,FALSE,TRUE
MAKA,2017,1,1,S Korea,04/05/17,FALSE,FALSE,3,6,0,4,TRUE,FALSE,FALSE,NE-KO Treks,FALSE,TRUE
MAKA,2017,1,1,USA,04/12/17,FALSE,FALSE,3,4,0,4,TRUE,FALSE,FALSE,Peak Promotion,FALSE,TRUE
MAKA,2017,1,1,France,04/16/17,FALSE,FALSE,3,1,0,1,FALSE,FALSE,FALSE,Satori Adventures (Himalayan Guides pmt),FALSE,TRUE
MAKA,2017,1,1,Canada,04/17/17,FALSE,FALSE,2,1,0,1,FALSE,FALSE,FALSE,Expedition Himalaya,FALSE,TRUE
MAKA,2017,1,1,Japan,04/28/17,FALSE,FALSE,2,1,0,2,TRUE,FALSE,FALSE,Satori Adventures (Himalayan Guides pmt),FALSE,TRUE
MANA,2017,1,1,Spain,04/17/17,FALSE,FALSE,1,3,0,0,FALSE,FALSE,FALSE,Yeti Expeditions (Satori Adventures pmt)?,TRUE,TRUE
MANA,2017,1,1,Hungary,04/20/17,FALSE,FALSE,1,2,0,1,FALSE,FALSE,FALSE,Satori Adventures,TRUE,TRUE
DHA1,2017,1,1,Ecuador,04/09/17,FALSE,FALSE,3,7,4,2,TRUE,TRUE,FALSE,Seven Summit Treks,FALSE,TRUE
PUMO,2017,1,1,Slovakia,03/19/17,FALSE,FALSE,2,4,0,0,FALSE,FALSE,FALSE,Cho Oyu Trekking,FALSE,FALSE
PUMO,2017,1,1,Romania,04/26/17,FALSE,FALSE,3,2,0,0,FALSE,FALSE,FALSE,Snowy Horizon Treks,FALSE,FALSE
PURK,2017,1,1,France,05/25/17,FALSE,FALSE,0,4,4,4,FALSE,FALSE,FALSE,Yeti Adventure,FALSE,FALSE
GORK,2017,1,1,UK,05/11/17,FALSE,FALSE,0,4,0,0,FALSE,FALSE,FALSE,Royal Mountain Travel,FALSE,FALSE
MALA,2017,1,1,Japan,,FALSE,FALSE,0,2,0,0,FALSE,FALSE,FALSE,Cosmo Treks,FALSE,FALSE
YAUP,2017,1,1,Switzerland,04/25/17,FALSE,FALSE,0,6,0,3,FALSE,FALSE,FALSE,TAGnepal Trekking,FALSE,FALSE
HIML,2017,1,1,France,04/26/17,FALSE,FALSE,5,10,7,7,FALSE,FALSE,FALSE,Yeti Adventure,FALSE,FALSE
HMLE,2017,1,1,France,04/26/17,FALSE,FALSE,5,2,2,2,FALSE,FALSE,FALSE,Yeti Adventure,FALSE,FALSE
EVER,2017,1,1,Nepal,04/14/17,FALSE,FALSE,4,14,3,7,TRUE,TRUE,FALSE,Asian Trekking,TRUE,TRUE
EVER,2017,1,1,India,04/13/17,FALSE,FALSE,4,12,7,15,TRUE,TRUE,FALSE,Asian Trekking,TRUE,TRUE
EVER,2017,1,1,UK,04/14/17,FALSE,FALSE,4,20,13,19,TRUE,FALSE,FALSE,Summit Nepal Trekking,TRUE,TRUE
EVER,2017,1,1,Spain,04/12/17,FALSE,FALSE,4,23,11,8,TRUE,TRUE,FALSE,Seven Summit Treks,TRUE,TRUE
MAKA,2017,1,1,Nepal,05/30/17,FALSE,FALSE,2,1,1,4,TRUE,FALSE,FALSE,Seven Summit Treks,FALSE,TRUE
EVER,2017,1,1,Nepal,05/23/17,FALSE,FALSE,2,1,1,1,TRUE,TRUE,FALSE,Seven Summit Treks,TRUE,TRUE
EVER,2017,1,1,China,04/18/17,FALSE,FALSE,4,11,0,10,TRUE,TRUE,FALSE,Seven Summit Treks,TRUE,TRUE
EVER,2017,1,1,China,04/19/17,FALSE,FALSE,4,11,4,11,TRUE,TRUE,FALSE,Seven Summit Treks,TRUE,TRUE
EVER,2017,1,1,India,,FALSE,FALSE,4,19,9,29,TRUE,TRUE,FALSE,Seven Summit Treks,TRUE,TRUE
EVER,2017,1,1,New Zealand,04/10/17,FALSE,FALSE,4,11,4,13,TRUE,TRUE,FALSE,Mountain Experience,TRUE,TRUE
EVER,2017,1,1,USA,04/04/17,FALSE,FALSE,4,32,23,32,TRUE,TRUE,FALSE,Beyul Adventure,TRUE,TRUE
EVER,2017,1,1,USA,04/09/17,FALSE,FALSE,4,8,6,12,TRUE,TRUE,FALSE,Shangri-La Nepal Treks,TRUE,TRUE
EVER,2017,1,1,New Zealand,04/12/17,FALSE,FALSE,4,18,11,27,TRUE,TRUE,FALSE,Himalayan Guides,TRUE,TRUE
EVER,2017,1,1,UK,04/17/17,FALSE,FALSE,4,6,5,8,TRUE,TRUE,FALSE,Himalayan Guides,TRUE,TRUE
EVER,2017,1,1,USA,04/17/17,FALSE,FALSE,4,7,5,8,TRUE,TRUE,FALSE,High Altitude Dreams,TRUE,TRUE
EVER,2017,1,1,USA,04/13/17,FALSE,FALSE,4,16,12,20,TRUE,TRUE,FALSE,Himalayan Guides,TRUE,TRUE
EVER,2017,1,1,Mexico,04/20/17,FALSE,FALSE,4,9,8,9,TRUE,TRUE,FALSE,Ascent Himalayas,TRUE,TRUE
EVER,2017,1,1,China,04/20/17,FALSE,FALSE,4,5,4,4,TRUE,TRUE,FALSE,Dreamers Destination Treks,TRUE,TRUE
EVER,2017,1,1,Belgium,04/09/17,FALSE,FALSE,4,4,1,6,TRUE,TRUE,FALSE,Ever Quest Expeditions,TRUE,TRUE
EVER,2017,1,1,India,04/16/17,FALSE,FALSE,4,14,7,9,TRUE,TRUE,FALSE,Himalaya Expeditions,TRUE,TRUE
EVER,2017,1,1,USA,04/16/17,FALSE,FALSE,4,16,3,17,TRUE,TRUE,FALSE,Everest Parivar,TRUE,TRUE
