"PEAKID,C,4","YEAR,C,4","SEASON,N,1,0","HOST,N,1,0","NATION,C,20","BCDATE,D","SKI,L","PARAPENTE,L","CAMPS,N,2,0","TOTMEMBERS,N,2,0","SMTMEMBERS,N,2,0","TOTHIRED,N,2,0","O2CLIMB,L","O2SLEEP,L","O2UNKWN,L","AGENCY,C,60","COMRTE,L","STDRTE,L"
PUMO,2013,3,1,Switzerland,09/15/13,TRUE,FALSE,0,3,0,0,FALSE,FALSE,FALSE,Wild Yak Expeditions,FALSE,FALSE
CHOY,2013,3,2,Italy,09/12/13,TRUE,FALSE,2,2,2,1,FALSE,FALSE,FALSE,Monterosa Treks,TRUE,TRUE
MANA,2012,1,1,Germany,04/21/12,TRUE,FALSE,4,5,0,0,FALSE,FALSE,FALSE,Asian Trekking,TRUE,TRUE
MANA,2012,1,1,Poland,04/17/12,TRUE,FALSE,4,8,0,0,FALSE,FALSE,FALSE,Seven Summit Treks,TRUE,TRUE
HIML,2012,3,1,USA,10/22/12,TRUE,FALSE,3,3,3,0,FALSE,FALSE,FALSE,Asian Trekking,FALSE,FALSE
MAKA,2012,3,1,UK,09/15/12,TRUE,FALSE,3,7,0,5,FALSE,FALSE,FALSE,Sherpa Shangri-La Trekking,FALSE,TRUE
MANA,2012,3,1,Germany,09/06/12,TRUE,FALSE,2,6,1,1,FALSE,FALSE,FALSE,Ramdung Expedition,TRUE,TRUE
MANA,2012,3,1,Italy,09/11/12,TRUE,FALSE,3,8,1,2,FALSE,FALSE,FALSE,Prestige Adventure,TRUE,TRUE
DHA1,2011,1,1,USA,04/12/11,TRUE,FALSE,2,2,0,0,FALSE,FALSE,FALSE,Monterosa Treks,FALSE,TRUE
LHOT,2011,1,1,USA,04/20/11,TRUE,FALSE,4,2,0,0,FALSE,FALSE,FALSE,High Altitude Dreams,FALSE,TRUE
MANA,2011,3,1,Italy,09/10/11,TRUE,FALSE,4,2,2,1,FALSE,FALSE,FALSE,Thamserku Trekking (Parajuli),TRUE,TRUE
MANA,2011,3,1,New Zealand,09/03/11,TRUE,FALSE,4,30,23,23,TRUE,TRUE,FALSE,Mountain Experience,TRUE,TRUE
CHOY,2011,3,2,Portugal,09/03/11,TRUE,FALSE,2,1,0,0,FALSE,FALSE,FALSE,Prestige Adventure,TRUE,TRUE
CHOY,2011,3,2,Italy,09/07/11,TRUE,FALSE,0,5,0,1,FALSE,FALSE,FALSE,Prestige Adventure,TRUE,TRUE
MANA,2010,3,1,Japan,09/10/10,TRUE,FALSE,3,10,3,8,TRUE,FALSE,FALSE,Cosmo Treks,TRUE,TRUE
MANA,2010,3,1,USA,09/16/10,TRUE,FALSE,2,6,0,2,FALSE,FALSE,FALSE,Active Holiday Nepal Treks,TRUE,TRUE
MANA,2010,3,1,USA,09/16/10,TRUE,FALSE,2,1,0,0,FALSE,FALSE,FALSE,Active Holiday Nepal Treks,TRUE,TRUE
DHA1,2009,1,1,Japan,04/23/09,TRUE,FALSE,1,6,1,5,FALSE,FALSE,FALSE,Bochi Bochi Treks,FALSE,TRUE
DHA1,2009,1,1,Czech Republic,04/12/09,TRUE,FALSE,3,2,1,0,FALSE,FALSE,FALSE,Monterosa Treks,FALSE,TRUE
EVER,2009,1,1,Japan,04/20/09,TRUE,FALSE,3,6,5,5,TRUE,TRUE,FALSE,Cosmo Treks,TRUE,TRUE
EVER,2009,1,1,USA,04/17/09,TRUE,FALSE,4,2,2,3,TRUE,TRUE,FALSE,High Himalayan Adventure,TRUE,TRUE
CHOY,2009,3,2,Iran,09/08/09,TRUE,FALSE,2,1,0,0,FALSE,FALSE,FALSE,Monterosa Treks,TRUE,TRUE
CHOY,2009,3,2,Italy,09/05/09,TRUE,FALSE,3,6,4,2,FALSE,FALSE,FALSE,Prestige Adventure,TRUE,TRUE
CHOY,2009,3,2,Norway,09/06/09,TRUE,FALSE,2,4,2,2,TRUE,FALSE,FALSE,Nima Gombu Sherpa (freelancer),TRUE,TRUE
HIML,2009,3,1,France,10/13/09,TRUE,FALSE,2,2,2,0,FALSE,FALSE,FALSE,Khumbi-ila Mt. & Trekking,FALSE,FALSE
MANA,2009,3,1,Chile,09/05/09,TRUE,FALSE,3,3,1,0,FALSE,FALSE,FALSE,Thamserku Trekking,TRUE,TRUE
MANA,2009,3,1,UK,09/11/09,TRUE,FALSE,4,11,6,5,TRUE,FALSE,FALSE,Himalayan Guides,TRUE,TRUE
MANA,2009,3,1,Switzerland,09/09/09,TRUE,FALSE,4,3,1,1,FALSE,FALSE,FALSE,Mountain Experience,TRUE,TRUE
PUTH,2009,3,1,Switzerland,09/15/09,TRUE,FALSE,2,5,5,2,FALSE,FALSE,FALSE,Iceland Trekking (Dorje),FALSE,FALSE
ANN2,2008,1,1,USA,04/30/08,TRUE,FALSE,3,4,0,0,FALSE,FALSE,FALSE,Mountain Tribes Trekking,FALSE,FALSE
MANA,2008,1,1,Italy,04/23/08,TRUE,FALSE,4,2,0,0,FALSE,FALSE,FALSE,Prestige Adventure,TRUE,TRUE
MANA,2008,3,1,Austria,08/29/08,TRUE,FALSE,2,10,0,2,FALSE,FALSE,FALSE,Thamserku Trekking (Rai),TRUE,TRUE
CHOY,2008,3,2,Spain,09/15/08,TRUE,FALSE,3,8,0,0,FALSE,FALSE,FALSE,Thamserku Trekking,TRUE,TRUE
KANG,2008,3,1,Sweden,10/01/08,TRUE,FALSE,2,2,0,0,FALSE,FALSE,FALSE,Loben Expeditions,FALSE,TRUE
MANA,2008,3,1,Japan,09/19/08,TRUE,FALSE,4,3,0,0,FALSE,FALSE,FALSE,Bochi Bochi Treks,TRUE,TRUE
SARI,2008,3,1,France,11/15/08,TRUE,FALSE,1,14,14,4,FALSE,FALSE,FALSE,Expes.com Treks,FALSE,FALSE
CHOY,2007,1,2,USA,04/19/07,TRUE,FALSE,2,3,1,2,FALSE,FALSE,FALSE,None,TRUE,TRUE
EVER,2007,1,2,France,04/15/07,TRUE,FALSE,3,7,3,6,TRUE,TRUE,FALSE,Himalayan Travel Bureau,TRUE,TRUE
EVER,2007,1,2,USA,05/12/07,TRUE,FALSE,3,3,0,3,FALSE,FALSE,FALSE,None,TRUE,TRUE
LHOT,2007,1,1,USA,04/07/07,TRUE,FALSE,4,1,0,0,TRUE,FALSE,FALSE,Mountain Madness,FALSE,TRUE
PUTH,2007,1,1,Switzerland,05/17/07,TRUE,FALSE,2,2,2,1,FALSE,FALSE,FALSE,Iceland Trekking (Dorje),FALSE,FALSE
CHOY,2007,3,2,USA,09/10/07,TRUE,FALSE,2,3,3,0,FALSE,FALSE,FALSE,High Country Trekking,TRUE,TRUE
CHOY,2007,3,2,France,09/09/07,TRUE,FALSE,2,4,1,1,FALSE,FALSE,FALSE,Adventure 6000,TRUE,TRUE
GHAN,2007,3,1,France,10/13/07,TRUE,FALSE,0,5,0,1,FALSE,FALSE,FALSE,Pike Peak Trekking,FALSE,FALSE
DHA1,2007,3,1,Sweden,09/12/07,TRUE,FALSE,3,1,0,0,FALSE,FALSE,FALSE,Loben Expeditions,FALSE,TRUE
MANA,2007,3,1,Germany,09/13/07,TRUE,FALSE,1,4,0,0,FALSE,FALSE,FALSE,International Trekkers (Intrek Asia),TRUE,TRUE
CHOY,2006,1,2,Japan,04/28/06,TRUE,FALSE,3,1,0,0,FALSE,FALSE,FALSE,Thamserku Trekking/Amuse Treks,TRUE,TRUE
EVER,2006,1,2,Sweden,04/07/06,TRUE,FALSE,2,3,2,2,TRUE,FALSE,FALSE,Arun Treks,FALSE,FALSE
EVER,2006,1,2,Sweden,04/05/06,TRUE,FALSE,3,2,2,1,TRUE,FALSE,FALSE,Everest Parivar,TRUE,TRUE
CHOY,2006,3,2,New Zealand,09/01/06,TRUE,FALSE,3,12,6,6,TRUE,FALSE,FALSE,Mountain Experience,TRUE,TRUE
EVER,2006,3,1,USA,09/09/06,TRUE,FALSE,4,7,5,13,TRUE,TRUE,FALSE,Peak Promotion,TRUE,TRUE
CHOY,2006,3,2,Austria,09/30/06,TRUE,FALSE,3,3,1,1,FALSE,FALSE,FALSE,Iceland Trekking (Tendi),TRUE,TRUE
CHOY,2006,3,2,UK,09/03/06,TRUE,FALSE,3,10,5,4,TRUE,FALSE,FALSE,Himalayan Guides,TRUE,TRUE
CHOY,2006,3,2,Slovenia,09/06/06,TRUE,FALSE,3,6,4,2,FALSE,FALSE,FALSE,Monterosa Treks,TRUE,TRUE
KABN,2006,1,3,India,04/14/06,TRUE,FALSE,3,6,6,0,FALSE,FALSE,FALSE,None,FALSE,FALSE
EVER,2005,1,2,UK,04/04/05,TRUE,FALSE,1,3,0,0,TRUE,FALSE,FALSE,Monterosa Treks,TRUE,TRUE
CHOY,2005,3,2,France,09/01/05,TRUE,FALSE,3,3,3,0,FALSE,FALSE,FALSE,Khumbi-ila Mt. & Trekking,TRUE,TRUE
CHOY,2005,3,2,USA,09/09/05,TRUE,FALSE,3,3,0,1,FALSE,FALSE,FALSE,Monterosa Treks,TRUE,TRUE
CHOY,2005,3,2,USA,09/05/05,TRUE,FALSE,3,4,3,0,TRUE,FALSE,FALSE,Nomad Expeditions,TRUE,TRUE
CHOY,2004,1,2,Netherlands,03/26/04,TRUE,FALSE,3,3,1,3,FALSE,FALSE,FALSE,Nepal Myths & Mountain Trails,TRUE,TRUE
CHOY,2004,3,2,Poland,09/08/04,TRUE,FALSE,3,5,5,0,FALSE,FALSE,FALSE,Monterosa Treks,TRUE,TRUE
CHOY,2004,3,2,New Zealand,09/02/04,TRUE,FALSE,3,16,15,7,TRUE,TRUE,FALSE,Mountain Experience,TRUE,TRUE
CHOY,2004,3,2,Japan,09/08/04,TRUE,FALSE,1,2,2,1,TRUE,FALSE,FALSE,Sansui Treks & Expeditions,TRUE,TRUE
CHOY,2004,3,2,Sweden,09/08/04,TRUE,FALSE,1,4,2,0,FALSE,FALSE,FALSE,Monterosa Treks,TRUE,TRUE
CHOY,2004,3,2,New Zealand,09/05/04,TRUE,FALSE,3,3,2,0,FALSE,FALSE,FALSE,Himalayan Guides,TRUE,TRUE
PUTH,2004,3,1,Spain,10/17/04,TRUE,FALSE,3,7,6,3,FALSE,FALSE,FALSE,Asian Trekking,FALSE,FALSE
CHOY,2004,1,2,Spain,04/21/04,TRUE,FALSE,3,3,2,0,FALSE,FALSE,FALSE,Thamserku Trekking?,TRUE,TRUE
BARU,2004,3,1,Netherlands,10/04/04,TRUE,FALSE,2,10,4,5,FALSE,FALSE,FALSE,Iceland Trekking (Tendi),FALSE,FALSE
CHOY,2003,1,2,Germany,04/17/03,TRUE,FALSE,3,5,3,6,FALSE,FALSE,FALSE,International Trekkers (Intrek Asia),TRUE,TRUE
EVER,2003,1,2,USA,04/09/03,TRUE,FALSE,3,9,1,1,TRUE,TRUE,FALSE,Asian Trekking,TRUE,TRUE
EVER,2003,1,1,France,04/07/03,TRUE,FALSE,4,23,3,23,TRUE,FALSE,FALSE,Thamserku Trekking,TRUE,TRUE
EVER,2003,1,2,Czech Republic,04/24/03,TRUE,FALSE,2,2,0,2,FALSE,FALSE,FALSE,Nepal Trans Himalayan Explorer,TRUE,TRUE
LHOT,2003,1,1,France,04/07/03,TRUE,FALSE,3,5,0,23,FALSE,FALSE,FALSE,Thamserku Trekking,FALSE,TRUE
MANA,2003,1,1,Slovenia,04/12/03,TRUE,FALSE,3,7,0,3,FALSE,FALSE,FALSE,Everest Trekking,TRUE,TRUE
EVER,2003,2,2,USA,07/22/03,TRUE,FALSE,2,3,0,2,FALSE,FALSE,FALSE,Everest Parivar,FALSE,FALSE
CHOY,2003,3,2,Switzerland,09/26/03,TRUE,FALSE,2,6,1,2,FALSE,FALSE,FALSE,Asian Trekking,TRUE,TRUE
